Domain,QID,Tone,Average Accuracy (%),Runs Counted
moral_disputes,1,Very Friendly,100.0,3
moral_disputes,1,Friendly,100.0,3
moral_disputes,1,Neutral,100.0,3
moral_disputes,1,Rude,100.0,3
moral_disputes,1,Very Rude,100.0,3
moral_disputes,2,Very Friendly,100.0,3
moral_disputes,2,Friendly,100.0,3
moral_disputes,2,Neutral,100.0,3
moral_disputes,2,Rude,100.0,3
moral_disputes,2,Very Rude,100.0,3
moral_disputes,3,Very Friendly,0.0,3
moral_disputes,3,Friendly,0.0,3
moral_disputes,3,Neutral,0.0,3
moral_disputes,3,Rude,0.0,3
moral_disputes,3,Very Rude,0.0,3
moral_disputes,4,Very Friendly,100.0,3
moral_disputes,4,Friendly,100.0,3
moral_disputes,4,Neutral,100.0,3
moral_disputes,4,Rude,100.0,3
moral_disputes,4,Very Rude,100.0,3
moral_disputes,5,Very Friendly,0.0,3
moral_disputes,5,Friendly,0.0,3
moral_disputes,5,Neutral,0.0,3
moral_disputes,5,Rude,0.0,3
moral_disputes,5,Very Rude,0.0,3
moral_disputes,6,Very Friendly,100.0,3
moral_disputes,6,Friendly,100.0,3
moral_disputes,6,Neutral,100.0,3
moral_disputes,6,Rude,100.0,3
moral_disputes,6,Very Rude,100.0,3
moral_disputes,7,Very Friendly,0.0,3
moral_disputes,7,Friendly,0.0,3
moral_disputes,7,Neutral,0.0,3
moral_disputes,7,Rude,100.0,3
moral_disputes,7,Very Rude,33.33,3
moral_disputes,8,Very Friendly,100.0,3
moral_disputes,8,Friendly,100.0,3
moral_disputes,8,Neutral,100.0,3
moral_disputes,8,Rude,100.0,3
moral_disputes,8,Very Rude,100.0,3
moral_disputes,9,Very Friendly,100.0,3
moral_disputes,9,Friendly,100.0,3
moral_disputes,9,Neutral,33.33,3
moral_disputes,9,Rude,100.0,3
moral_disputes,9,Very Rude,0.0,3
moral_disputes,10,Very Friendly,100.0,3
moral_disputes,10,Friendly,100.0,3
moral_disputes,10,Neutral,100.0,3
moral_disputes,10,Rude,100.0,3
moral_disputes,10,Very Rude,100.0,3
moral_disputes,11,Very Friendly,0.0,3
moral_disputes,11,Friendly,0.0,3
moral_disputes,11,Neutral,0.0,3
moral_disputes,11,Rude,0.0,3
moral_disputes,11,Very Rude,0.0,3
moral_disputes,12,Very Friendly,100.0,3
moral_disputes,12,Friendly,100.0,3
moral_disputes,12,Neutral,100.0,3
moral_disputes,12,Rude,100.0,3
moral_disputes,12,Very Rude,100.0,3
moral_disputes,13,Very Friendly,0.0,3
moral_disputes,13,Friendly,0.0,3
moral_disputes,13,Neutral,0.0,3
moral_disputes,13,Rude,0.0,3
moral_disputes,13,Very Rude,0.0,3
moral_disputes,14,Very Friendly,0.0,3
moral_disputes,14,Friendly,0.0,3
moral_disputes,14,Neutral,0.0,3
moral_disputes,14,Rude,100.0,3
moral_disputes,14,Very Rude,100.0,3
moral_disputes,15,Very Friendly,66.67,3
moral_disputes,15,Friendly,0.0,3
moral_disputes,15,Neutral,66.67,3
moral_disputes,15,Rude,100.0,3
moral_disputes,15,Very Rude,100.0,3
moral_disputes,16,Very Friendly,100.0,3
moral_disputes,16,Friendly,100.0,3
moral_disputes,16,Neutral,100.0,3
moral_disputes,16,Rude,100.0,3
moral_disputes,16,Very Rude,100.0,3
moral_disputes,17,Very Friendly,100.0,3
moral_disputes,17,Friendly,100.0,3
moral_disputes,17,Neutral,100.0,3
moral_disputes,17,Rude,100.0,3
moral_disputes,17,Very Rude,100.0,3
moral_disputes,18,Very Friendly,100.0,3
moral_disputes,18,Friendly,100.0,3
moral_disputes,18,Neutral,100.0,3
moral_disputes,18,Rude,100.0,3
moral_disputes,18,Very Rude,100.0,3
moral_disputes,19,Very Friendly,100.0,3
moral_disputes,19,Friendly,100.0,3
moral_disputes,19,Neutral,100.0,3
moral_disputes,19,Rude,100.0,3
moral_disputes,19,Very Rude,100.0,3
moral_disputes,20,Very Friendly,100.0,3
moral_disputes,20,Friendly,100.0,3
moral_disputes,20,Neutral,100.0,3
moral_disputes,20,Rude,100.0,3
moral_disputes,20,Very Rude,100.0,3
moral_disputes,21,Very Friendly,100.0,3
moral_disputes,21,Friendly,100.0,3
moral_disputes,21,Neutral,100.0,3
moral_disputes,21,Rude,100.0,3
moral_disputes,21,Very Rude,100.0,3
moral_disputes,22,Very Friendly,100.0,3
moral_disputes,22,Friendly,100.0,3
moral_disputes,22,Neutral,100.0,3
moral_disputes,22,Rude,100.0,3
moral_disputes,22,Very Rude,100.0,3
moral_disputes,23,Very Friendly,100.0,3
moral_disputes,23,Friendly,33.33,3
moral_disputes,23,Neutral,0.0,3
moral_disputes,23,Rude,0.0,3
moral_disputes,23,Very Rude,0.0,3
moral_disputes,24,Very Friendly,0.0,3
moral_disputes,24,Friendly,0.0,3
moral_disputes,24,Neutral,0.0,3
moral_disputes,24,Rude,0.0,3
moral_disputes,24,Very Rude,0.0,3
moral_disputes,25,Very Friendly,0.0,3
moral_disputes,25,Friendly,0.0,3
moral_disputes,25,Neutral,0.0,3
moral_disputes,25,Rude,0.0,3
moral_disputes,25,Very Rude,0.0,3
moral_disputes,26,Very Friendly,100.0,3
moral_disputes,26,Friendly,100.0,3
moral_disputes,26,Neutral,100.0,3
moral_disputes,26,Rude,100.0,3
moral_disputes,26,Very Rude,100.0,3
moral_disputes,27,Very Friendly,100.0,3
moral_disputes,27,Friendly,100.0,3
moral_disputes,27,Neutral,100.0,3
moral_disputes,27,Rude,100.0,3
moral_disputes,27,Very Rude,100.0,3
moral_disputes,28,Very Friendly,100.0,3
moral_disputes,28,Friendly,100.0,3
moral_disputes,28,Neutral,100.0,3
moral_disputes,28,Rude,100.0,3
moral_disputes,28,Very Rude,100.0,3
moral_disputes,29,Very Friendly,0.0,3
moral_disputes,29,Friendly,0.0,3
moral_disputes,29,Neutral,0.0,3
moral_disputes,29,Rude,0.0,3
moral_disputes,29,Very Rude,0.0,3
moral_disputes,30,Very Friendly,100.0,3
moral_disputes,30,Friendly,100.0,3
moral_disputes,30,Neutral,100.0,3
moral_disputes,30,Rude,100.0,3
moral_disputes,30,Very Rude,100.0,3
moral_disputes,31,Very Friendly,0.0,3
moral_disputes,31,Friendly,0.0,3
moral_disputes,31,Neutral,33.33,3
moral_disputes,31,Rude,0.0,3
moral_disputes,31,Very Rude,0.0,3
moral_disputes,32,Very Friendly,100.0,3
moral_disputes,32,Friendly,100.0,3
moral_disputes,32,Neutral,100.0,3
moral_disputes,32,Rude,100.0,3
moral_disputes,32,Very Rude,100.0,3
moral_disputes,33,Very Friendly,100.0,3
moral_disputes,33,Friendly,100.0,3
moral_disputes,33,Neutral,100.0,3
moral_disputes,33,Rude,100.0,3
moral_disputes,33,Very Rude,100.0,3
moral_disputes,34,Very Friendly,100.0,3
moral_disputes,34,Friendly,100.0,3
moral_disputes,34,Neutral,100.0,3
moral_disputes,34,Rude,100.0,3
moral_disputes,34,Very Rude,100.0,3
moral_disputes,35,Very Friendly,100.0,3
moral_disputes,35,Friendly,100.0,3
moral_disputes,35,Neutral,100.0,3
moral_disputes,35,Rude,100.0,3
moral_disputes,35,Very Rude,100.0,3
moral_disputes,36,Very Friendly,0.0,3
moral_disputes,36,Friendly,0.0,3
moral_disputes,36,Neutral,0.0,3
moral_disputes,36,Rude,0.0,3
moral_disputes,36,Very Rude,0.0,3
moral_disputes,37,Very Friendly,100.0,3
moral_disputes,37,Friendly,100.0,3
moral_disputes,37,Neutral,100.0,3
moral_disputes,37,Rude,100.0,3
moral_disputes,37,Very Rude,100.0,3
moral_disputes,38,Very Friendly,0.0,3
moral_disputes,38,Friendly,0.0,3
moral_disputes,38,Neutral,100.0,3
moral_disputes,38,Rude,0.0,3
moral_disputes,38,Very Rude,0.0,3
moral_disputes,39,Very Friendly,0.0,3
moral_disputes,39,Friendly,0.0,3
moral_disputes,39,Neutral,0.0,3
moral_disputes,39,Rude,0.0,3
moral_disputes,39,Very Rude,0.0,3
moral_disputes,40,Very Friendly,100.0,3
moral_disputes,40,Friendly,100.0,3
moral_disputes,40,Neutral,100.0,3
moral_disputes,40,Rude,100.0,3
moral_disputes,40,Very Rude,100.0,3
moral_disputes,41,Very Friendly,100.0,3
moral_disputes,41,Friendly,100.0,3
moral_disputes,41,Neutral,100.0,3
moral_disputes,41,Rude,100.0,3
moral_disputes,41,Very Rude,100.0,3
moral_disputes,42,Very Friendly,100.0,3
moral_disputes,42,Friendly,100.0,3
moral_disputes,42,Neutral,100.0,3
moral_disputes,42,Rude,100.0,3
moral_disputes,42,Very Rude,100.0,3
moral_disputes,43,Very Friendly,0.0,3
moral_disputes,43,Friendly,0.0,3
moral_disputes,43,Neutral,0.0,3
moral_disputes,43,Rude,0.0,3
moral_disputes,43,Very Rude,0.0,3
moral_disputes,44,Very Friendly,100.0,3
moral_disputes,44,Friendly,100.0,3
moral_disputes,44,Neutral,100.0,3
moral_disputes,44,Rude,100.0,3
moral_disputes,44,Very Rude,100.0,3
moral_disputes,45,Very Friendly,100.0,3
moral_disputes,45,Friendly,100.0,3
moral_disputes,45,Neutral,100.0,3
moral_disputes,45,Rude,100.0,3
moral_disputes,45,Very Rude,100.0,3
moral_disputes,46,Very Friendly,100.0,3
moral_disputes,46,Friendly,100.0,3
moral_disputes,46,Neutral,100.0,3
moral_disputes,46,Rude,100.0,3
moral_disputes,46,Very Rude,100.0,3
moral_disputes,47,Very Friendly,100.0,3
moral_disputes,47,Friendly,100.0,3
moral_disputes,47,Neutral,100.0,3
moral_disputes,47,Rude,66.67,3
moral_disputes,47,Very Rude,0.0,3
moral_disputes,48,Very Friendly,100.0,3
moral_disputes,48,Friendly,100.0,3
moral_disputes,48,Neutral,100.0,3
moral_disputes,48,Rude,100.0,3
moral_disputes,48,Very Rude,100.0,3
moral_disputes,49,Very Friendly,100.0,3
moral_disputes,49,Friendly,100.0,3
moral_disputes,49,Neutral,100.0,3
moral_disputes,49,Rude,100.0,3
moral_disputes,49,Very Rude,100.0,3
moral_disputes,50,Very Friendly,100.0,3
moral_disputes,50,Friendly,100.0,3
moral_disputes,50,Neutral,100.0,3
moral_disputes,50,Rude,100.0,3
moral_disputes,50,Very Rude,100.0,3
moral_disputes,51,Very Friendly,100.0,3
moral_disputes,51,Friendly,100.0,3
moral_disputes,51,Neutral,100.0,3
moral_disputes,51,Rude,100.0,3
moral_disputes,51,Very Rude,100.0,3
moral_disputes,52,Very Friendly,0.0,3
moral_disputes,52,Friendly,0.0,3
moral_disputes,52,Neutral,0.0,3
moral_disputes,52,Rude,0.0,3
moral_disputes,52,Very Rude,0.0,3
moral_disputes,53,Very Friendly,0.0,3
moral_disputes,53,Friendly,0.0,3
moral_disputes,53,Neutral,0.0,3
moral_disputes,53,Rude,0.0,3
moral_disputes,53,Very Rude,0.0,3
moral_disputes,54,Very Friendly,100.0,3
moral_disputes,54,Friendly,100.0,3
moral_disputes,54,Neutral,100.0,3
moral_disputes,54,Rude,100.0,3
moral_disputes,54,Very Rude,100.0,3
moral_disputes,55,Very Friendly,0.0,3
moral_disputes,55,Friendly,0.0,3
moral_disputes,55,Neutral,0.0,3
moral_disputes,55,Rude,0.0,3
moral_disputes,55,Very Rude,0.0,3
moral_disputes,56,Very Friendly,100.0,3
moral_disputes,56,Friendly,100.0,3
moral_disputes,56,Neutral,100.0,3
moral_disputes,56,Rude,100.0,3
moral_disputes,56,Very Rude,100.0,3
moral_disputes,57,Very Friendly,100.0,3
moral_disputes,57,Friendly,100.0,3
moral_disputes,57,Neutral,100.0,3
moral_disputes,57,Rude,100.0,3
moral_disputes,57,Very Rude,100.0,3
moral_disputes,58,Very Friendly,100.0,3
moral_disputes,58,Friendly,100.0,3
moral_disputes,58,Neutral,100.0,3
moral_disputes,58,Rude,100.0,3
moral_disputes,58,Very Rude,100.0,3
moral_disputes,59,Very Friendly,33.33,3
moral_disputes,59,Friendly,0.0,3
moral_disputes,59,Neutral,0.0,3
moral_disputes,59,Rude,66.67,3
moral_disputes,59,Very Rude,0.0,3
moral_disputes,60,Very Friendly,100.0,3
moral_disputes,60,Friendly,100.0,3
moral_disputes,60,Neutral,100.0,3
moral_disputes,60,Rude,100.0,3
moral_disputes,60,Very Rude,100.0,3
moral_disputes,61,Very Friendly,100.0,3
moral_disputes,61,Friendly,100.0,3
moral_disputes,61,Neutral,100.0,3
moral_disputes,61,Rude,100.0,3
moral_disputes,61,Very Rude,100.0,3
moral_disputes,62,Very Friendly,100.0,3
moral_disputes,62,Friendly,100.0,3
moral_disputes,62,Neutral,100.0,3
moral_disputes,62,Rude,100.0,3
moral_disputes,62,Very Rude,100.0,3
moral_disputes,63,Very Friendly,100.0,3
moral_disputes,63,Friendly,100.0,3
moral_disputes,63,Neutral,100.0,3
moral_disputes,63,Rude,100.0,3
moral_disputes,63,Very Rude,100.0,3
moral_disputes,64,Very Friendly,100.0,3
moral_disputes,64,Friendly,100.0,3
moral_disputes,64,Neutral,100.0,3
moral_disputes,64,Rude,0.0,3
moral_disputes,64,Very Rude,100.0,3
moral_disputes,65,Very Friendly,100.0,3
moral_disputes,65,Friendly,100.0,3
moral_disputes,65,Neutral,100.0,3
moral_disputes,65,Rude,100.0,3
moral_disputes,65,Very Rude,100.0,3
moral_disputes,66,Very Friendly,0.0,3
moral_disputes,66,Friendly,0.0,3
moral_disputes,66,Neutral,0.0,3
moral_disputes,66,Rude,0.0,3
moral_disputes,66,Very Rude,0.0,3
moral_disputes,67,Very Friendly,100.0,3
moral_disputes,67,Friendly,100.0,3
moral_disputes,67,Neutral,100.0,3
moral_disputes,67,Rude,100.0,3
moral_disputes,67,Very Rude,100.0,3
moral_disputes,68,Very Friendly,0.0,3
moral_disputes,68,Friendly,0.0,3
moral_disputes,68,Neutral,0.0,3
moral_disputes,68,Rude,0.0,3
moral_disputes,68,Very Rude,0.0,3
moral_disputes,69,Very Friendly,0.0,3
moral_disputes,69,Friendly,0.0,3
moral_disputes,69,Neutral,0.0,3
moral_disputes,69,Rude,0.0,3
moral_disputes,69,Very Rude,0.0,3
moral_disputes,70,Very Friendly,100.0,3
moral_disputes,70,Friendly,100.0,3
moral_disputes,70,Neutral,100.0,3
moral_disputes,70,Rude,100.0,3
moral_disputes,70,Very Rude,100.0,3
moral_disputes,71,Very Friendly,100.0,3
moral_disputes,71,Friendly,100.0,3
moral_disputes,71,Neutral,100.0,3
moral_disputes,71,Rude,100.0,3
moral_disputes,71,Very Rude,100.0,3
moral_disputes,72,Very Friendly,100.0,3
moral_disputes,72,Friendly,100.0,3
moral_disputes,72,Neutral,100.0,3
moral_disputes,72,Rude,100.0,3
moral_disputes,72,Very Rude,100.0,3
moral_disputes,73,Very Friendly,100.0,3
moral_disputes,73,Friendly,100.0,3
moral_disputes,73,Neutral,100.0,3
moral_disputes,73,Rude,100.0,3
moral_disputes,73,Very Rude,100.0,3
moral_disputes,74,Very Friendly,100.0,3
moral_disputes,74,Friendly,100.0,3
moral_disputes,74,Neutral,100.0,3
moral_disputes,74,Rude,100.0,3
moral_disputes,74,Very Rude,100.0,3
moral_disputes,75,Very Friendly,100.0,3
moral_disputes,75,Friendly,100.0,3
moral_disputes,75,Neutral,100.0,3
moral_disputes,75,Rude,100.0,3
moral_disputes,75,Very Rude,100.0,3
moral_disputes,76,Very Friendly,100.0,3
moral_disputes,76,Friendly,100.0,3
moral_disputes,76,Neutral,100.0,3
moral_disputes,76,Rude,100.0,3
moral_disputes,76,Very Rude,100.0,3
moral_disputes,77,Very Friendly,100.0,3
moral_disputes,77,Friendly,66.67,3
moral_disputes,77,Neutral,100.0,3
moral_disputes,77,Rude,33.33,3
moral_disputes,77,Very Rude,100.0,3
moral_disputes,78,Very Friendly,0.0,3
moral_disputes,78,Friendly,0.0,3
moral_disputes,78,Neutral,0.0,3
moral_disputes,78,Rude,0.0,3
moral_disputes,78,Very Rude,0.0,3
moral_disputes,79,Very Friendly,0.0,3
moral_disputes,79,Friendly,0.0,3
moral_disputes,79,Neutral,0.0,3
moral_disputes,79,Rude,0.0,3
moral_disputes,79,Very Rude,0.0,3
moral_disputes,80,Very Friendly,0.0,3
moral_disputes,80,Friendly,66.67,3
