Domain,QID,Tone,Run 1,Run 2,Run 3
humanities,9,Very Friendly,0,0,0
humanities,9,Friendly,0,0,0
humanities,9,Neutral,0,0,0
humanities,9,Rude,0,0,0
humanities,9,Very Rude,0,0,0
humanities,13,Very Friendly,0,0,0
humanities,13,Friendly,0,0,0
humanities,13,Neutral,0,0,0
humanities,13,Rude,0,0,0
humanities,13,Very Rude,0,0,0
humanities,18,Very Friendly,0,0,0
humanities,18,Friendly,0,0,0
humanities,18,Neutral,0,0,0
humanities,18,Rude,0,0,0
humanities,18,Very Rude,0,0,0
humanities,20,Very Friendly,0,0,0
humanities,20,Friendly,0,0,0
humanities,20,Neutral,0,0,0
humanities,20,Rude,0,0,0
humanities,20,Very Rude,0,0,0
humanities,24,Very Friendly,0,0,0
humanities,24,Friendly,0,0,0
humanities,24,Neutral,0,0,0
humanities,24,Rude,0,0,0
humanities,24,Very Rude,0,0,0
humanities,27,Very Friendly,0,0,0
humanities,27,Friendly,0,0,0
humanities,27,Neutral,0,0,0
humanities,27,Rude,0,0,0
humanities,27,Very Rude,0,0,0
humanities,30,Very Friendly,0,0,0
humanities,30,Friendly,0,0,0
humanities,30,Neutral,0,0,0
humanities,30,Rude,0,0,0
humanities,30,Very Rude,0,0,0
humanities,34,Very Friendly,100,100,100
humanities,34,Friendly,100,100,100
humanities,34,Neutral,100,100,100
humanities,34,Rude,100,100,100
humanities,34,Very Rude,100,100,100
humanities,44,Very Friendly,0,0,0
humanities,44,Friendly,0,0,0
humanities,44,Neutral,0,0,0
humanities,44,Rude,0,0,0
humanities,44,Very Rude,0,0,0
humanities,46,Very Friendly,100,100,100
humanities,46,Friendly,100,100,100
humanities,46,Neutral,100,100,100
humanities,46,Rude,100,100,100
humanities,46,Very Rude,100,100,100
humanities,52,Very Friendly,0,0,0
humanities,52,Friendly,0,0,0
humanities,52,Neutral,0,0,0
humanities,52,Rude,0,0,0
humanities,52,Very Rude,0,0,0
humanities,62,Very Friendly,100,100,100
humanities,62,Friendly,100,100,100
humanities,62,Neutral,100,100,100
humanities,62,Rude,100,100,100
humanities,62,Very Rude,100,100,100
humanities,69,Very Friendly,0,0,0
humanities,69,Friendly,0,0,0
humanities,69,Neutral,0,0,0
humanities,69,Rude,0,0,0
humanities,69,Very Rude,0,0,0
humanities,70,Very Friendly,0,0,0
humanities,70,Friendly,0,0,0
humanities,70,Neutral,0,0,0
humanities,70,Rude,0,0,0
humanities,70,Very Rude,0,0,0
humanities,71,Very Friendly,100,100,100
humanities,71,Friendly,100,100,100
humanities,71,Neutral,100,100,100
humanities,71,Rude,100,100,100
humanities,71,Very Rude,100,100,100
humanities,74,Very Friendly,0,0,0
humanities,74,Friendly,0,0,0
humanities,74,Neutral,0,0,0
humanities,74,Rude,0,0,0
humanities,74,Very Rude,0,0,0
humanities,80,Very Friendly,0,0,0
humanities,80,Friendly,0,0,0
humanities,80,Neutral,0,0,0
humanities,80,Rude,0,0,0
humanities,80,Very Rude,0,0,0
humanities,81,Very Friendly,0,0,0
humanities,81,Friendly,0,0,0
humanities,81,Neutral,0,0,0
humanities,81,Rude,0,0,0
humanities,81,Very Rude,0,0,0
humanities,85,Very Friendly,0,0,0
humanities,85,Friendly,100,100,100
humanities,85,Neutral,100,100,100
humanities,85,Rude,0,0,0
humanities,85,Very Rude,0,0,0
humanities,91,Very Friendly,0,0,0
humanities,91,Friendly,0,0,0
humanities,91,Neutral,0,0,0
humanities,91,Rude,0,0,0
humanities,91,Very Rude,0,0,0
humanities,94,Very Friendly,100,100,100
humanities,94,Friendly,100,100,100
humanities,94,Neutral,100,100,100
humanities,94,Rude,100,100,100
humanities,94,Very Rude,100,100,100
humanities,96,Very Friendly,0,0,0
humanities,96,Friendly,0,0,0
humanities,96,Neutral,0,0,0
humanities,96,Rude,0,0,0
humanities,96,Very Rude,0,0,0
humanities,97,Very Friendly,0,0,0
humanities,97,Friendly,0,0,0
humanities,97,Neutral,0,0,0
humanities,97,Rude,0,0,0
humanities,97,Very Rude,0,0,0
humanities,100,Very Friendly,0,0,0
humanities,100,Friendly,0,0,0
humanities,100,Neutral,0,0,0
humanities,100,Rude,0,0,0
humanities,100,Very Rude,0,0,0
humanities,101,Very Friendly,0,0,0
humanities,101,Friendly,0,0,0
humanities,101,Neutral,0,0,0
humanities,101,Rude,0,0,0
humanities,101,Very Rude,0,0,0
humanities,110,Very Friendly,100,100,100
humanities,110,Friendly,0,0,0
humanities,110,Neutral,0,0,0
humanities,110,Rude,0,0,0
humanities,110,Very Rude,0,0,0
humanities,112,Very Friendly,0,0,0
humanities,112,Friendly,0,0,0
humanities,112,Neutral,0,0,0
humanities,112,Rude,0,0,0
humanities,112,Very Rude,0,0,0
humanities,114,Very Friendly,0,0,0
humanities,114,Friendly,0,0,0
humanities,114,Neutral,0,0,0
humanities,114,Rude,0,0,0
humanities,114,Very Rude,0,0,0
humanities,121,Very Friendly,100,100,100
humanities,121,Friendly,0,0,0
humanities,121,Neutral,100,100,100
humanities,121,Rude,100,100,100
humanities,121,Very Rude,100,100,100
humanities,123,Very Friendly,0,0,0
humanities,123,Friendly,0,0,0
humanities,123,Neutral,0,0,0
humanities,123,Rude,0,0,0
humanities,123,Very Rude,0,0,0
humanities,133,Very Friendly,100,100,100
humanities,133,Friendly,100,100,100
humanities,133,Neutral,100,100,100
humanities,133,Rude,100,100,100
humanities,133,Very Rude,100,100,100
humanities,135,Very Friendly,100,100,100
humanities,135,Friendly,100,100,100
humanities,135,Neutral,100,100,100
humanities,135,Rude,100,100,100
humanities,135,Very Rude,100,100,100
humanities,136,Very Friendly,100,100,100
humanities,136,Friendly,100,100,100
humanities,136,Neutral,100,100,100
humanities,136,Rude,100,100,100
humanities,136,Very Rude,100,100,100
humanities,140,Very Friendly,0,0,0
humanities,140,Friendly,0,0,0
humanities,140,Neutral,0,0,0
humanities,140,Rude,0,0,0
humanities,140,Very Rude,0,0,0
humanities,145,Very Friendly,0,0,0
humanities,145,Friendly,0,0,0
humanities,145,Neutral,0,0,0
humanities,145,Rude,0,0,0
humanities,145,Very Rude,0,0,0
humanities,150,Very Friendly,100,100,100
humanities,150,Friendly,100,100,100
humanities,150,Neutral,100,100,100
humanities,150,Rude,100,100,100
humanities,150,Very Rude,100,100,100
humanities,151,Very Friendly,100,100,100
humanities,151,Friendly,100,100,100
humanities,151,Neutral,100,100,100
humanities,151,Rude,100,100,100
humanities,151,Very Rude,100,100,100
humanities,152,Very Friendly,0,0,0
humanities,152,Friendly,0,0,0
humanities,152,Neutral,0,0,0
humanities,152,Rude,0,0,0
humanities,152,Very Rude,0,0,0
humanities,153,Very Friendly,0,0,0
humanities,153,Friendly,0,0,0
humanities,153,Neutral,0,0,0
humanities,153,Rude,0,0,0
humanities,153,Very Rude,0,0,0
humanities,158,Very Friendly,0,0,0
humanities,158,Friendly,0,0,0
humanities,158,Neutral,0,0,0
humanities,158,Rude,0,0,0
humanities,158,Very Rude,0,0,0
humanities,167,Very Friendly,100,100,100
humanities,167,Friendly,100,100,100
humanities,167,Neutral,100,100,100
humanities,167,Rude,100,100,100
