Domain,QID,Tone,Run,Score (%),Correct,Predicted,Raw Response
moral_disputes,1,Very Friendly,1,100,A,A,A
moral_disputes,1,Friendly,1,100,A,A,A
moral_disputes,1,Neutral,1,100,A,A,A
moral_disputes,1,Rude,1,100,A,A,A
moral_disputes,1,Very Rude,1,100,A,A,A
moral_disputes,2,Very Friendly,1,100,C,C,C
moral_disputes,2,Friendly,1,100,C,C,C
moral_disputes,2,Neutral,1,100,C,C,C
moral_disputes,2,Rude,1,100,C,C,C
moral_disputes,2,Very Rude,1,100,C,C,C
moral_disputes,3,Very Friendly,1,0,A,D,D
moral_disputes,3,Friendly,1,0,A,D,D
moral_disputes,3,Neutral,1,0,A,D,D
moral_disputes,3,Rude,1,0,A,D,D
moral_disputes,3,Very Rude,1,0,A,D,D
moral_disputes,4,Very Friendly,1,100,C,C,C
moral_disputes,4,Friendly,1,100,C,C,C
moral_disputes,4,Neutral,1,100,C,C,C
moral_disputes,4,Rude,1,100,C,C,C
moral_disputes,4,Very Rude,1,100,C,C,C
moral_disputes,5,Very Friendly,1,0,B,C,C
moral_disputes,5,Friendly,1,0,B,C,C
moral_disputes,5,Neutral,1,0,B,C,C
moral_disputes,5,Rude,1,0,B,C,C
moral_disputes,5,Very Rude,1,0,B,C,C
moral_disputes,6,Very Friendly,1,100,C,C,C
moral_disputes,6,Friendly,1,100,C,C,C
moral_disputes,6,Neutral,1,100,C,C,C
moral_disputes,6,Rude,1,100,C,C,C
moral_disputes,6,Very Rude,1,100,C,C,C
moral_disputes,7,Very Friendly,1,0,D,A,A
moral_disputes,7,Friendly,1,0,D,A,A
moral_disputes,7,Neutral,1,0,D,A,A
moral_disputes,7,Rude,1,100,D,D,D
moral_disputes,7,Very Rude,1,0,D,A,A
moral_disputes,8,Very Friendly,1,100,B,B,B
moral_disputes,8,Friendly,1,100,B,B,B
moral_disputes,8,Neutral,1,100,B,B,B
moral_disputes,8,Rude,1,100,B,B,B
moral_disputes,8,Very Rude,1,100,B,B,B
moral_disputes,9,Very Friendly,1,100,D,D,D
moral_disputes,9,Friendly,1,100,D,D,D
moral_disputes,9,Neutral,1,0,D,B,B
moral_disputes,9,Rude,1,100,D,D,D
moral_disputes,9,Very Rude,1,0,D,A,A
moral_disputes,10,Very Friendly,1,100,D,D,D
moral_disputes,10,Friendly,1,100,D,D,D
moral_disputes,10,Neutral,1,100,D,D,D
moral_disputes,10,Rude,1,100,D,D,D
moral_disputes,10,Very Rude,1,100,D,D,D
moral_disputes,11,Very Friendly,1,0,D,B,B
moral_disputes,11,Friendly,1,0,D,B,B
moral_disputes,11,Neutral,1,0,D,B,B
moral_disputes,11,Rude,1,0,D,B,B
moral_disputes,11,Very Rude,1,0,D,B,B
moral_disputes,12,Very Friendly,1,100,B,B,B
moral_disputes,12,Friendly,1,100,B,B,B
moral_disputes,12,Neutral,1,100,B,B,B
moral_disputes,12,Rude,1,100,B,B,B
moral_disputes,12,Very Rude,1,100,B,B,B
moral_disputes,13,Very Friendly,1,0,B,A,A
moral_disputes,13,Friendly,1,0,B,A,A
moral_disputes,13,Neutral,1,0,B,A,A
moral_disputes,13,Rude,1,0,B,A,A
moral_disputes,13,Very Rude,1,0,B,A,A
moral_disputes,14,Very Friendly,1,0,D,C,C
moral_disputes,14,Friendly,1,0,D,C,C
moral_disputes,14,Neutral,1,0,D,C,C
moral_disputes,14,Rude,1,100,D,D,D
moral_disputes,14,Very Rude,1,100,D,D,D
moral_disputes,15,Very Friendly,1,100,C,C,C
moral_disputes,15,Friendly,1,0,C,B,B
moral_disputes,15,Neutral,1,100,C,C,C
moral_disputes,15,Rude,1,100,C,C,C
moral_disputes,15,Very Rude,1,100,C,C,C
moral_disputes,16,Very Friendly,1,100,C,C,C
moral_disputes,16,Friendly,1,100,C,C,C
moral_disputes,16,Neutral,1,100,C,C,C
moral_disputes,16,Rude,1,100,C,C,C
moral_disputes,16,Very Rude,1,100,C,C,C
