Domain,QID,Tone,Run 1,Run 2,Run 3
stem,1,Very Friendly,0,0,0
stem,1,Friendly,0,0,0
stem,1,Neutral,0,0,0
stem,1,Rude,0,0,0
stem,1,Very Rude,0,0,0
stem,15,Very Friendly,100,100,100
stem,15,Friendly,100,100,100
stem,15,Neutral,100,100,100
stem,15,Rude,100,100,100
stem,15,Very Rude,100,100,100
stem,31,Very Friendly,0,0,0
stem,31,Friendly,0,0,0
stem,31,Neutral,0,0,0
stem,31,Rude,0,0,0
stem,31,Very Rude,0,0,0
stem,33,Very Friendly,100,100,100
stem,33,Friendly,100,100,100
stem,33,Neutral,100,100,100
stem,33,Rude,100,100,100
stem,33,Very Rude,100,100,100
stem,45,Very Friendly,0,0,0
stem,45,Friendly,0,0,0
stem,45,Neutral,0,0,0
stem,45,Rude,0,0,0
stem,45,Very Rude,0,0,0
stem,46,Very Friendly,0,0,0
stem,46,Friendly,0,0,0
stem,46,Neutral,0,0,0
stem,46,Rude,0,0,0
stem,46,Very Rude,0,0,0
stem,52,Very Friendly,100,100,100
stem,52,Friendly,100,100,100
stem,52,Neutral,100,100,100
stem,52,Rude,100,100,100
stem,52,Very Rude,100,100,100
stem,53,Very Friendly,0,0,0
stem,53,Friendly,0,0,0
stem,53,Neutral,0,0,0
stem,53,Rude,0,0,0
stem,53,Very Rude,0,0,0
stem,57,Very Friendly,0,0,0
stem,57,Friendly,0,0,0
stem,57,Neutral,0,0,0
stem,57,Rude,0,0,0
stem,57,Very Rude,0,0,0
stem,64,Very Friendly,0,0,0
stem,64,Friendly,0,0,0
stem,64,Neutral,0,0,0
stem,64,Rude,0,0,0
stem,64,Very Rude,0,0,0
stem,68,Very Friendly,0,0,0
stem,68,Friendly,0,0,0
stem,68,Neutral,0,0,0
stem,68,Rude,0,0,0
stem,68,Very Rude,0,0,0
stem,71,Very Friendly,100,100,100
stem,71,Friendly,0,0,0
stem,71,Neutral,100,100,100
stem,71,Rude,100,100,100
stem,71,Very Rude,100,100,100
stem,74,Very Friendly,100,100,100
stem,74,Friendly,100,100,100
stem,74,Neutral,100,100,100
stem,74,Rude,100,100,100
stem,74,Very Rude,100,100,100
stem,81,Very Friendly,0,0,0
stem,81,Friendly,0,0,0
stem,81,Neutral,0,0,0
stem,81,Rude,0,0,0
