Domain,QID,Tone,Run,Score (%),Correct,Predicted,Raw Response
law,11,Very Friendly,1,100,A,A,A
law,11,Friendly,1,100,A,A,A
law,11,Neutral,1,100,A,A,A
law,11,Rude,1,100,A,A,A
law,11,Very Rude,1,100,A,A,A
law,16,Very Friendly,1,100,C,C,C
law,16,Friendly,1,100,C,C,C
law,16,Neutral,1,100,C,C,C
law,16,Rude,1,100,C,C,C
law,16,Very Rude,1,100,C,C,C
law,19,Very Friendly,1,100,C,C,C
law,19,Friendly,1,100,C,C,C
law,19,Neutral,1,100,C,C,C
law,19,Rude,1,100,C,C,C
law,19,Very Rude,1,100,C,C,C
law,24,Very Friendly,1,0,A,B,B.
law,24,Friendly,1,0,A,B,B.
law,24,Neutral,1,0,A,B,B.
law,24,Rude,1,0,A,B,B.
law,24,Very Rude,1,0,A,B,B.
law,30,Very Friendly,1,100,C,C,C
law,30,Friendly,1,100,C,C,C
law,30,Neutral,1,100,C,C,C
law,30,Rude,1,100,C,C,C
law,30,Very Rude,1,0,C,B,B
law,31,Very Friendly,1,100,A,A,A
law,31,Friendly,1,100,A,A,A
law,31,Neutral,1,100,A,A,A
law,31,Rude,1,100,A,A,A
law,31,Very Rude,1,100,A,A,A
law,32,Very Friendly,1,0,A,B,B
law,32,Friendly,1,0,A,B,B
law,32,Neutral,1,0,A,B,B
law,32,Rude,1,0,A,B,B
law,32,Very Rude,1,0,A,B,B
law,33,Very Friendly,1,100,B,B,B.
law,33,Friendly,1,100,B,B,B.
law,33,Neutral,1,100,B,B,B.
law,33,Rude,1,100,B,B,B.
law,33,Very Rude,1,100,B,B,B.
law,44,Very Friendly,1,100,C,C,C.
law,44,Friendly,1,100,C,C,C
law,44,Neutral,1,100,C,C,C.
law,44,Rude,1,100,C,C,C
law,44,Very Rude,1,100,C,C,C
law,45,Very Friendly,1,0,A,C,C
law,45,Friendly,1,0,A,C,C
law,45,Neutral,1,0,A,C,C
law,45,Rude,1,0,A,C,C
law,45,Very Rude,1,0,A,C,C
law,49,Very Friendly,1,100,C,C,C
law,49,Friendly,1,100,C,C,C
law,49,Neutral,1,100,C,C,C
law,49,Rude,1,100,C,C,C
law,49,Very Rude,1,100,C,C,C
law,50,Very Friendly,1,100,D,D,D
law,50,Friendly,1,100,D,D,D
law,50,Neutral,1,100,D,D,D
law,50,Rude,1,100,D,D,D
law,50,Very Rude,1,100,D,D,D
law,52,Very Friendly,1,100,C,C,C.
law,52,Friendly,1,100,C,C,C.
law,52,Neutral,1,100,C,C,C
law,52,Rude,1,100,C,C,C.
law,52,Very Rude,1,100,C,C,C
law,55,Very Friendly,1,0,B,A,A
law,55,Friendly,1,0,B,A,A
law,55,Neutral,1,0,B,A,A
law,55,Rude,1,0,B,A,A
law,55,Very Rude,1,0,B,A,A
law,57,Very Friendly,1,100,D,D,D
law,57,Friendly,1,100,D,D,D
law,57,Neutral,1,100,D,D,D
law,57,Rude,1,100,D,D,D
law,57,Very Rude,1,100,D,D,D
law,59,Very Friendly,1,0,A,D,D
law,59,Friendly,1,0,A,D,D
law,59,Neutral,1,0,A,D,D
law,59,Rude,1,0,A,D,D
law,59,Very Rude,1,0,A,D,D
law,60,Very Friendly,1,100,C,C,C
law,60,Friendly,1,100,C,C,C
law,60,Neutral,1,100,C,C,C
law,60,Rude,1,100,C,C,C
law,60,Very Rude,1,100,C,C,C
law,64,Very Friendly,1,100,C,C,C
law,64,Friendly,1,100,C,C,C.
law,64,Neutral,1,100,C,C,C
law,64,Rude,1,100,C,C,C
law,64,Very Rude,1,100,C,C,C
law,66,Very Friendly,1,100,C,C,C
law,66,Friendly,1,100,C,C,C
law,66,Neutral,1,100,C,C,C
law,66,Rude,1,100,C,C,C
law,66,Very Rude,1,100,C,C,C
law,68,Very Friendly,1,100,B,B,B
law,68,Friendly,1,100,B,B,B
law,68,Neutral,1,100,B,B,B
law,68,Rude,1,100,B,B,B
law,68,Very Rude,1,100,B,B,B
law,71,Very Friendly,1,100,D,D,D
law,71,Friendly,1,100,D,D,D
law,71,Neutral,1,100,D,D,D
law,71,Rude,1,100,D,D,D
law,71,Very Rude,1,100,D,D,D
law,77,Very Friendly,1,0,A,C,C.
law,77,Friendly,1,0,A,C,C.
law,77,Neutral,1,0,A,C,C
