Domain,QID,Tone,Run 1
Formal Logic,9,Very Friendly,100
Formal Logic,9,Friendly,100
Formal Logic,9,Neutral,100
Formal Logic,9,Rude,100
Formal Logic,9,Very Rude,100
Formal Logic,13,Very Friendly,100
Formal Logic,13,Friendly,100
Formal Logic,13,Neutral,100
Formal Logic,13,Rude,100
Formal Logic,13,Very Rude,100
Formal Logic,18,Very Friendly,0
Formal Logic,18,Friendly,100
Formal Logic,18,Neutral,0
Formal Logic,18,Rude,0
Formal Logic,18,Very Rude,100
Formal Logic,24,Very Friendly,100
Formal Logic,24,Friendly,100
Formal Logic,24,Neutral,100
Formal Logic,24,Rude,100
Formal Logic,24,Very Rude,0
Formal Logic,27,Very Friendly,0
Formal Logic,27,Friendly,0
Formal Logic,27,Neutral,0
Formal Logic,27,Rude,0
Formal Logic,27,Very Rude,0
Formal Logic,30,Very Friendly,0
Formal Logic,30,Friendly,0
Formal Logic,30,Neutral,0
Formal Logic,30,Rude,0
Formal Logic,30,Very Rude,0
Formal Logic,34,Very Friendly,100
Formal Logic,34,Friendly,100
Formal Logic,34,Neutral,100
Formal Logic,34,Rude,100
Formal Logic,34,Very Rude,100
Formal Logic,52,Very Friendly,0
Formal Logic,52,Friendly,0
Formal Logic,52,Neutral,0
Formal Logic,52,Rude,0
Formal Logic,52,Very Rude,0
Formal Logic,62,Very Friendly,100
Formal Logic,62,Friendly,100
Formal Logic,62,Neutral,100
Formal Logic,62,Rude,100
Formal Logic,62,Very Rude,100
Formal Logic,70,Very Friendly,0
Formal Logic,70,Friendly,0
Formal Logic,70,Neutral,100
Formal Logic,70,Rude,0
Formal Logic,70,Very Rude,0
Formal Logic,71,Very Friendly,100
Formal Logic,71,Friendly,100
Formal Logic,71,Neutral,100
Formal Logic,71,Rude,100
Formal Logic,71,Very Rude,100
Formal Logic,80,Very Friendly,100
Formal Logic,80,Friendly,100
Formal Logic,80,Neutral,100
Formal Logic,80,Rude,100
Formal Logic,80,Very Rude,100
Formal Logic,94,Very Friendly,100
Formal Logic,94,Friendly,100
Formal Logic,94,Neutral,100
Formal Logic,94,Rude,100
Formal Logic,94,Very Rude,100
Formal Logic,101,Very Friendly,0
Formal Logic,101,Friendly,0
Formal Logic,101,Neutral,0
Formal Logic,101,Rude,0
Formal Logic,101,Very Rude,0
Formal Logic,110,Very Friendly,0
Formal Logic,110,Friendly,0
Formal Logic,110,Neutral,0
Formal Logic,110,Rude,0
Formal Logic,110,Very Rude,0
Formal Logic,121,Very Friendly,100
Formal Logic,121,Friendly,100
Formal Logic,121,Neutral,100
Formal Logic,121,Rude,100
Formal Logic,121,Very Rude,100
Formal Logic,123,Very Friendly,0
Formal Logic,123,Friendly,0
Formal Logic,123,Neutral,0
Formal Logic,123,Rude,0
Formal Logic,123,Very Rude,0
Formal Logic,133,Very Friendly,100
Formal Logic,133,Friendly,100
Formal Logic,133,Neutral,100
Formal Logic,133,Rude,100
Formal Logic,133,Very Rude,100
Formal Logic,135,Very Friendly,100
Formal Logic,135,Friendly,100
Formal Logic,135,Neutral,100
Formal Logic,135,Rude,100
Formal Logic,135,Very Rude,100
Formal Logic,136,Very Friendly,100
Formal Logic,136,Friendly,100
Formal Logic,136,Neutral,100
Formal Logic,136,Rude,100
Formal Logic,136,Very Rude,100
Formal Logic,145,Very Friendly,0
Formal Logic,145,Friendly,0
Formal Logic,145,Neutral,0
Formal Logic,145,Rude,0
Formal Logic,145,Very Rude,0
Formal Logic,150,Very Friendly,100
Formal Logic,150,Friendly,100
Formal Logic,150,Neutral,100
Formal Logic,150,Rude,100
Formal Logic,150,Very Rude,100
Formal Logic,152,Very Friendly,100
Formal Logic,152,Friendly,100
Formal Logic,152,Neutral,100
Formal Logic,152,Rude,100
Formal Logic,152,Very Rude,100
Formal Logic,158,Very Friendly,100
Formal Logic,158,Friendly,100
Formal Logic,158,Neutral,100
Formal Logic,158,Rude,100
