QID,Domain,Base Question,Politeness Level,Prompt,Answer
1,Math,"Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?",Very Rude,"You poor creature, can you even solve this? Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?
A) $10
B) $20
C) $30
D) $40",C
1,Math,"Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?",Rude,"If you're not completely clueless, try to answer this: Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?
A) $10
B) $20
C) $30
D) $40",C
1,Math,"Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?",Normal,"Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?
A) $10
B) $20
C) $30
D) $40",C
1,Math,"Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?",Polite,"Please answer the following question: Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?
A) $10
B) $20
C) $30
D) $40",C
1,Math,"Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have?",Very Polite,"Can you  kindly consider the following problem and provide your answer. Jake gave half of his money to his brother, then spent $5 and was left with $10. How much money did he originally have? Thank you.
A) $10
B) $20
C) $30
D) $40",C
2,Math,"The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?",Very Rude,"Hey gofer, figure this out: The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?
A) 36
B) 45
C) 54
D) 72",A
2,Math,"The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?",Rude,"I doubt you can even solve this: The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?
A) 36
B) 45
C) 54
D) 72",A
2,Math,"The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?",Normal,"The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?
A) 36
B) 45
C) 54
D) 72",A
2,Math,"The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?",Polite,"Could you please solve this problem: The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?
A) 36
B) 45
C) 54
D) 72",A
2,Math,"The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number?",Very Polite,"Would you be so kind as to solve the following question? The sum of the digits of a two-digit number is 9. If you reverse its digits, the number increases by 27. What is the original number? I would be most grateful for your response.
A) 36
B) 45
C) 54
D) 72",A
3,Math,Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?,Very Rude,"I know you are not smart, but try this. Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate? (Or is that too hard for you?)
A) 4 hours
B) 9 hours
C) 12 hours
D) 18 hours",B
3,Math,Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?,Rude,"Try to focus and try to answer this question: Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?
A) 4 hours
B) 9 hours
C) 12 hours
D) 18 hours",B
3,Math,Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?,Normal,"Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?
A) 4 hours
B) 9 hours
C) 12 hours
D) 18 hours",B
3,Math,Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?,Polite,"Kindly find the answer to this question: Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?
A) 4 hours
B) 9 hours
C) 12 hours
D) 18 hours",B
