Domain,QID,Tone,Average Accuracy (%),Runs Counted
humanities,9,Very Friendly,100.0,3
humanities,9,Friendly,100.0,3
humanities,9,Neutral,0.0,3
humanities,9,Rude,0.0,3
humanities,9,Very Rude,0.0,3
humanities,13,Very Friendly,0.0,3
humanities,13,Friendly,100.0,3
humanities,13,Neutral,100.0,3
humanities,13,Rude,100.0,3
humanities,13,Very Rude,100.0,3
humanities,18,Very Friendly,0.0,3
humanities,18,Friendly,0.0,3
humanities,18,Neutral,0.0,3
humanities,18,Rude,100.0,3
humanities,18,Very Rude,100.0,3
humanities,24,Very Friendly,100.0,3
humanities,24,Friendly,100.0,3
humanities,24,Neutral,100.0,3
humanities,24,Rude,100.0,3
humanities,24,Very Rude,100.0,3
humanities,27,Very Friendly,0.0,3
humanities,27,Friendly,0.0,3
humanities,27,Neutral,0.0,3
humanities,27,Rude,0.0,3
humanities,27,Very Rude,0.0,3
humanities,30,Very Friendly,0.0,3
humanities,30,Friendly,0.0,3
humanities,30,Neutral,0.0,3
humanities,30,Rude,0.0,3
humanities,30,Very Rude,0.0,3
humanities,34,Very Friendly,100.0,3
humanities,34,Friendly,100.0,3
humanities,34,Neutral,100.0,3
humanities,34,Rude,100.0,3
humanities,34,Very Rude,100.0,3
humanities,52,Very Friendly,0.0,3
humanities,52,Friendly,0.0,3
humanities,52,Neutral,0.0,3
humanities,52,Rude,100.0,3
humanities,52,Very Rude,0.0,3
humanities,62,Very Friendly,100.0,3
humanities,62,Friendly,100.0,3
humanities,62,Neutral,100.0,3
humanities,62,Rude,100.0,3
humanities,62,Very Rude,100.0,3
humanities,70,Very Friendly,0.0,3
humanities,70,Friendly,0.0,3
humanities,70,Neutral,0.0,3
humanities,70,Rude,0.0,3
humanities,70,Very Rude,0.0,3
humanities,71,Very Friendly,100.0,3
humanities,71,Friendly,100.0,3
humanities,71,Neutral,100.0,3
humanities,71,Rude,100.0,3
humanities,71,Very Rude,100.0,3
humanities,80,Very Friendly,0.0,3
humanities,80,Friendly,0.0,3
humanities,80,Neutral,0.0,3
humanities,80,Rude,0.0,3
humanities,80,Very Rude,0.0,3
humanities,94,Very Friendly,100.0,3
humanities,94,Friendly,100.0,3
humanities,94,Neutral,100.0,3
humanities,94,Rude,100.0,3
humanities,94,Very Rude,100.0,3
humanities,101,Very Friendly,0.0,3
humanities,101,Friendly,0.0,3
humanities,101,Neutral,0.0,3
humanities,101,Rude,0.0,3
humanities,101,Very Rude,0.0,3
humanities,110,Very Friendly,0.0,3
humanities,110,Friendly,0.0,3
humanities,110,Neutral,100.0,3
humanities,110,Rude,0.0,3
humanities,110,Very Rude,0.0,3
humanities,121,Very Friendly,100.0,3
humanities,121,Friendly,100.0,3
humanities,121,Neutral,100.0,3
humanities,121,Rude,100.0,3
humanities,121,Very Rude,100.0,3
humanities,123,Very Friendly,0.0,3
humanities,123,Friendly,0.0,3
humanities,123,Neutral,0.0,3
humanities,123,Rude,0.0,3
humanities,123,Very Rude,0.0,3
humanities,133,Very Friendly,100.0,3
humanities,133,Friendly,100.0,3
humanities,133,Neutral,100.0,3
humanities,133,Rude,100.0,3
humanities,133,Very Rude,100.0,3
humanities,135,Very Friendly,100.0,3
humanities,135,Friendly,100.0,3
humanities,135,Neutral,100.0,3
humanities,135,Rude,100.0,3
humanities,135,Very Rude,100.0,3
humanities,136,Very Friendly,100.0,3
humanities,136,Friendly,100.0,3
humanities,136,Neutral,100.0,3
humanities,136,Rude,100.0,3
humanities,136,Very Rude,100.0,3
humanities,145,Very Friendly,0.0,3
humanities,145,Friendly,0.0,3
humanities,145,Neutral,0.0,3
humanities,145,Rude,0.0,3
humanities,145,Very Rude,0.0,3
humanities,150,Very Friendly,100.0,3
humanities,150,Friendly,100.0,3
humanities,150,Neutral,100.0,3
humanities,150,Rude,100.0,3
humanities,150,Very Rude,100.0,3
humanities,152,Very Friendly,0.0,3
humanities,152,Friendly,0.0,3
humanities,152,Neutral,0.0,3
humanities,152,Rude,0.0,3
humanities,152,Very Rude,0.0,3
humanities,158,Very Friendly,100.0,3
humanities,158,Friendly,100.0,3
humanities,158,Neutral,100.0,3
humanities,158,Rude,100.0,3
humanities,158,Very Rude,100.0,3
humanities,178,Very Friendly,0.0,3
humanities,178,Friendly,0.0,3
humanities,178,Neutral,100.0,3
humanities,178,Rude,0.0,3
humanities,178,Very Rude,0.0,3
