Domain,QID,Tone,Run,Score (%),Correct,Predicted,Raw Response
stem,1,Very Friendly,1,100,B,B,B
stem,1,Friendly,1,100,B,B,B
stem,1,Neutral,1,100,B,B,B
stem,1,Rude,1,100,B,B,B
stem,1,Very Rude,1,100,B,B,B
stem,15,Very Friendly,1,100,C,C,C
stem,15,Friendly,1,100,C,C,C
stem,15,Neutral,1,100,C,C,C
stem,15,Rude,1,100,C,C,C
stem,15,Very Rude,1,100,C,C,C
stem,31,Very Friendly,1,100,B,B,B
stem,31,Friendly,1,100,B,B,B
stem,31,Neutral,1,100,B,B,B
stem,31,Rude,1,100,B,B,B
stem,31,Very Rude,1,100,B,B,B
stem,33,Very Friendly,1,100,A,A,A
stem,33,Friendly,1,100,A,A,A
stem,33,Neutral,1,100,A,A,A
stem,33,Rude,1,100,A,A,A
stem,33,Very Rude,1,100,A,A,A
stem,45,Very Friendly,1,100,C,C,C
stem,45,Friendly,1,100,C,C,C
stem,45,Neutral,1,100,C,C,C
stem,45,Rude,1,100,C,C,C
stem,45,Very Rude,1,100,C,C,C
stem,46,Very Friendly,1,0,C,B,B
stem,46,Friendly,1,0,C,B,B
stem,46,Neutral,1,0,C,B,B
stem,46,Rude,1,0,C,B,B
stem,46,Very Rude,1,0,C,B,B
stem,52,Very Friendly,1,100,B,B,B
stem,52,Friendly,1,100,B,B,B
stem,52,Neutral,1,100,B,B,B
stem,52,Rude,1,100,B,B,B
stem,52,Very Rude,1,100,B,B,B
stem,53,Very Friendly,1,100,A,A,A
stem,53,Friendly,1,100,A,A,A
stem,53,Neutral,1,100,A,A,A
stem,53,Rude,1,100,A,A,A
stem,53,Very Rude,1,100,A,A,A
stem,57,Very Friendly,1,100,D,D,D
stem,57,Friendly,1,100,D,D,D
stem,57,Neutral,1,100,D,D,D
stem,57,Rude,1,100,D,D,D
stem,57,Very Rude,1,100,D,D,D
stem,64,Very Friendly,1,0,B,A,A
stem,64,Friendly,1,0,B,A,A
stem,64,Neutral,1,0,B,A,A
stem,64,Rude,1,0,B,A,A
stem,64,Very Rude,1,0,B,A,A
stem,68,Very Friendly,1,100,C,C,C
stem,68,Friendly,1,100,C,C,C
stem,68,Neutral,1,100,C,C,C
stem,68,Rude,1,100,C,C,C
stem,68,Very Rude,1,100,C,C,C
stem,71,Very Friendly,1,0,D,B,B
stem,71,Friendly,1,100,D,D,D
stem,71,Neutral,1,0,D,B,B
stem,71,Rude,1,0,D,B,B
stem,71,Very Rude,1,0,D,B,B
stem,74,Very Friendly,1,100,B,B,B
stem,74,Friendly,1,100,B,B,B
stem,74,Neutral,1,100,B,B,B
stem,74,Rude,1,100,B,B,B
stem,74,Very Rude,1,100,B,B,B
stem,81,Very Friendly,1,100,B,B,B
stem,81,Friendly,1,100,B,B,B
stem,81,Neutral,1,100,B,B,B
stem,81,Rude,1,100,B,B,B
stem,81,Very Rude,1,100,B,B,B
stem,89,Very Friendly,1,100,A,A,A
stem,89,Friendly,1,100,A,A,A
stem,89,Neutral,1,100,A,A,A
stem,89,Rude,1,100,A,A,A
stem,89,Very Rude,1,100,A,A,A
