Domain,QID,Tone,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
law,11,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,11,Friendly,100,100,100,100,100,100,100,100,100,100
law,11,Neutral,100,100,100,100,100,100,100,100,100,100
law,11,Rude,100,100,100,100,100,100,100,100,100,100
law,11,Very Rude,100,100,100,100,100,100,100,100,100,100
law,16,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,16,Friendly,100,100,100,100,100,100,100,100,100,100
law,16,Neutral,100,100,100,100,100,100,100,100,100,100
law,16,Rude,100,100,100,100,100,100,100,100,100,100
law,16,Very Rude,100,100,100,100,100,100,100,100,100,100
law,19,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,19,Friendly,100,100,100,100,100,100,100,100,100,100
law,19,Neutral,100,100,100,100,100,100,100,100,100,100
law,19,Rude,100,100,100,100,100,100,100,100,100,100
law,19,Very Rude,100,100,100,100,100,100,100,100,100,100
law,24,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,24,Friendly,0,0,0,0,0,0,0,0,0,0
law,24,Neutral,0,0,0,0,0,0,0,0,0,0
law,24,Rude,0,0,0,0,0,0,0,0,0,0
law,24,Very Rude,0,0,0,0,0,0,0,0,0,0
law,30,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,30,Friendly,100,100,100,100,100,100,100,100,100,100
law,30,Neutral,100,100,100,100,100,100,100,100,100,100
law,30,Rude,100,100,100,100,100,100,100,100,100,100
law,30,Very Rude,0,0,0,0,0,0,0,0,0,0
law,31,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,31,Friendly,100,100,100,100,100,100,100,100,100,100
law,31,Neutral,100,100,100,100,100,100,100,100,100,100
law,31,Rude,100,100,100,100,100,100,100,100,100,100
law,31,Very Rude,100,100,100,100,100,100,100,100,100,100
law,32,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,32,Friendly,0,0,0,0,0,0,0,0,0,0
law,32,Neutral,0,0,0,0,0,0,0,0,0,0
law,32,Rude,0,0,0,0,0,0,0,0,0,0
law,32,Very Rude,0,0,0,0,0,0,0,0,0,0
law,33,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,33,Friendly,100,100,100,100,100,100,100,100,100,100
law,33,Neutral,100,100,100,100,100,100,100,100,100,100
law,33,Rude,100,100,100,100,100,100,100,100,100,100
law,33,Very Rude,100,100,100,100,100,100,100,100,100,100
law,44,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,44,Friendly,100,100,100,100,100,100,100,100,100,100
law,44,Neutral,100,100,100,100,100,100,100,100,100,100
law,44,Rude,100,100,100,100,100,100,100,100,100,100
law,44,Very Rude,100,100,100,100,100,100,100,100,100,100
law,45,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,45,Friendly,0,0,0,0,0,0,0,0,0,0
law,45,Neutral,0,0,0,0,0,0,0,0,0,0
law,45,Rude,0,0,0,0,0,0,0,0,0,0
law,45,Very Rude,0,0,0,0,0,0,0,0,0,0
law,49,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,49,Friendly,100,100,100,100,100,100,100,100,100,100
law,49,Neutral,100,100,100,100,100,100,100,100,100,100
law,49,Rude,100,100,100,100,100,100,100,100,100,100
law,49,Very Rude,100,100,100,100,100,100,100,100,100,100
law,50,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,50,Friendly,100,100,100,100,100,100,100,100,100,100
law,50,Neutral,100,100,100,100,100,100,100,100,100,100
law,50,Rude,100,100,100,100,100,100,100,100,100,100
law,50,Very Rude,100,100,100,100,100,100,100,100,100,100
law,52,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,52,Friendly,100,100,100,100,100,100,100,100,100,100
law,52,Neutral,100,100,100,100,100,100,100,100,100,100
law,52,Rude,100,100,100,100,100,100,100,100,100,100
law,52,Very Rude,100,100,100,100,100,100,100,100,100,100
law,55,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,55,Friendly,0,0,0,0,0,0,0,0,0,0
law,55,Neutral,0,0,0,0,0,0,0,0,0,0
law,55,Rude,0,0,0,0,0,0,0,0,0,0
law,55,Very Rude,0,0,0,0,0,0,0,0,0,0
law,57,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,57,Friendly,100,100,100,100,100,100,100,100,100,100
law,57,Neutral,100,100,100,100,100,100,100,100,100,100
law,57,Rude,100,100,100,100,100,100,100,100,100,100
law,57,Very Rude,100,100,100,100,100,100,100,100,100,100
law,59,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,59,Friendly,0,0,0,0,0,0,0,0,0,0
law,59,Neutral,0,0,0,0,0,0,0,0,0,0
law,59,Rude,0,0,0,0,0,0,0,0,0,0
law,59,Very Rude,0,0,0,0,0,0,0,0,0,0
law,60,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,60,Friendly,100,100,100,100,100,100,100,100,100,100
law,60,Neutral,100,100,100,100,100,100,100,100,100,100
law,60,Rude,100,100,100,100,100,100,100,100,100,100
law,60,Very Rude,100,100,100,100,100,100,100,100,100,100
law,64,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,64,Friendly,100,100,100,100,100,100,100,100,100,100
law,64,Neutral,100,100,100,100,100,100,100,100,100,100
law,64,Rude,100,100,100,100,100,100,100,100,100,100
law,64,Very Rude,100,100,100,100,100,100,100,100,100,100
law,66,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,66,Friendly,100,100,100,100,100,100,100,100,100,100
law,66,Neutral,100,100,100,100,100,100,100,100,100,100
law,66,Rude,100,100,100,100,100,100,100,100,100,100
law,66,Very Rude,100,100,100,100,100,100,100,100,100,100
law,68,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,68,Friendly,100,100,100,100,100,100,100,100,100,100
law,68,Neutral,100,100,100,100,100,100,100,100,100,100
law,68,Rude,100,100,100,100,100,100,100,100,100,100
law,68,Very Rude,100,100,100,100,100,100,100,100,100,100
law,71,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,71,Friendly,100,100,100,100,100,100,100,100,100,100
law,71,Neutral,100,100,100,100,100,100,100,100,100,100
law,71,Rude,100,100,100,100,100,100,100,100,100,100
law,71,Very Rude,100,100,100,100,100,100,100,100,100,100
law,77,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,77,Friendly,0,0,0,0,0,0,0,0,0,0
law,77,Neutral,0,0,0,0,0,0,0,0,0,0
law,77,Rude,0,0,0,0,0,0,0,0,0,0
law,77,Very Rude,0,0,0,0,0,0,0,0,0,0
