Domain,QID,Tone,Run,Score (%),Correct,Predicted,Raw Response
Formal Logic,9,Very Friendly,1,100,D,D,D
Formal Logic,9,Friendly,1,100,D,D,D
Formal Logic,9,Neutral,1,100,D,D,D
Formal Logic,9,Rude,1,100,D,D,D
Formal Logic,9,Very Rude,1,100,D,D,D
Formal Logic,13,Very Friendly,1,100,D,D,D
Formal Logic,13,Friendly,1,100,D,D,D
Formal Logic,13,Neutral,1,100,D,D,D
Formal Logic,13,Rude,1,100,D,D,D
Formal Logic,13,Very Rude,1,100,D,D,D
Formal Logic,18,Very Friendly,1,0,D,C,C
Formal Logic,18,Friendly,1,100,D,D,D
Formal Logic,18,Neutral,1,0,D,C,C
Formal Logic,18,Rude,1,0,D,C,C
Formal Logic,18,Very Rude,1,100,D,D,D
Formal Logic,24,Very Friendly,1,100,C,C,C
Formal Logic,24,Friendly,1,100,C,C,C
Formal Logic,24,Neutral,1,100,C,C,C
Formal Logic,24,Rude,1,100,C,C,C
Formal Logic,24,Very Rude,1,0,C,B,B
Formal Logic,27,Very Friendly,1,0,D,C,C
Formal Logic,27,Friendly,1,0,D,C,C
Formal Logic,27,Neutral,1,0,D,C,C
Formal Logic,27,Rude,1,0,D,C,C
Formal Logic,27,Very Rude,1,0,D,C,C
Formal Logic,30,Very Friendly,1,0,A,C,C
Formal Logic,30,Friendly,1,0,A,C,C
Formal Logic,30,Neutral,1,0,A,C,C
Formal Logic,30,Rude,1,0,A,C,C
Formal Logic,30,Very Rude,1,0,A,C,C
Formal Logic,34,Very Friendly,1,100,B,B,B
Formal Logic,34,Friendly,1,100,B,B,B
Formal Logic,34,Neutral,1,100,B,B,B
Formal Logic,34,Rude,1,100,B,B,B
Formal Logic,34,Very Rude,1,100,B,B,B
Formal Logic,52,Very Friendly,1,0,A,B,B
Formal Logic,52,Friendly,1,0,A,B,B
Formal Logic,52,Neutral,1,0,A,B,B
Formal Logic,52,Rude,1,0,A,B,B
Formal Logic,52,Very Rude,1,0,A,B,B
Formal Logic,62,Very Friendly,1,100,D,D,D
Formal Logic,62,Friendly,1,100,D,D,D
Formal Logic,62,Neutral,1,100,D,D,D
Formal Logic,62,Rude,1,100,D,D,D
Formal Logic,62,Very Rude,1,100,D,D,D
Formal Logic,70,Very Friendly,1,0,A,B,B
Formal Logic,70,Friendly,1,0,A,B,B
Formal Logic,70,Neutral,1,100,A,A,A
Formal Logic,70,Rude,1,0,A,B,B
Formal Logic,70,Very Rude,1,0,A,B,B
Formal Logic,71,Very Friendly,1,100,D,D,D
Formal Logic,71,Friendly,1,100,D,D,D
Formal Logic,71,Neutral,1,100,D,D,D
Formal Logic,71,Rude,1,100,D,D,D
Formal Logic,71,Very Rude,1,100,D,D,D
Formal Logic,80,Very Friendly,1,100,C,C,C
Formal Logic,80,Friendly,1,100,C,C,C
Formal Logic,80,Neutral,1,100,C,C,C
Formal Logic,80,Rude,1,100,C,C,C
Formal Logic,80,Very Rude,1,100,C,C,C
Formal Logic,94,Very Friendly,1,100,A,A,A
Formal Logic,94,Friendly,1,100,A,A,A
Formal Logic,94,Neutral,1,100,A,A,A
Formal Logic,94,Rude,1,100,A,A,A
Formal Logic,94,Very Rude,1,100,A,A,A
Formal Logic,101,Very Friendly,1,0,D,C,C
Formal Logic,101,Friendly,1,0,D,C,C
Formal Logic,101,Neutral,1,0,D,C,C
Formal Logic,101,Rude,1,0,D,C,C
Formal Logic,101,Very Rude,1,0,D,C,C
Formal Logic,110,Very Friendly,1,0,D,C,C
Formal Logic,110,Friendly,1,0,D,C,C
Formal Logic,110,Neutral,1,0,D,C,C
Formal Logic,110,Rude,1,0,D,C,C
Formal Logic,110,Very Rude,1,0,D,C,C
Formal Logic,121,Very Friendly,1,100,A,A,A
Formal Logic,121,Friendly,1,100,A,A,A
Formal Logic,121,Neutral,1,100,A,A,A
Formal Logic,121,Rude,1,100,A,A,A
Formal Logic,121,Very Rude,1,100,A,A,A
