Domain,QID,Tone,Average Accuracy (%),Runs Counted
Abstract Algebra,1,Very Friendly,100.0,3
Abstract Algebra,1,Friendly,100.0,3
Abstract Algebra,1,Neutral,100.0,3
Abstract Algebra,1,Rude,100.0,3
Abstract Algebra,1,Very Rude,100.0,3
Abstract Algebra,15,Very Friendly,0.0,3
Abstract Algebra,15,Friendly,0.0,3
Abstract Algebra,15,Neutral,0.0,3
Abstract Algebra,15,Rude,0.0,3
Abstract Algebra,15,Very Rude,0.0,3
Abstract Algebra,31,Very Friendly,0.0,3
Abstract Algebra,31,Friendly,0.0,3
Abstract Algebra,31,Neutral,0.0,3
Abstract Algebra,31,Rude,0.0,3
Abstract Algebra,31,Very Rude,0.0,3
Abstract Algebra,33,Very Friendly,100.0,3
Abstract Algebra,33,Friendly,100.0,3
Abstract Algebra,33,Neutral,100.0,3
Abstract Algebra,33,Rude,100.0,3
Abstract Algebra,33,Very Rude,100.0,3
Abstract Algebra,45,Very Friendly,100.0,3
Abstract Algebra,45,Friendly,100.0,3
Abstract Algebra,45,Neutral,100.0,3
Abstract Algebra,45,Rude,100.0,3
Abstract Algebra,45,Very Rude,100.0,3
Abstract Algebra,46,Very Friendly,0.0,3
Abstract Algebra,46,Friendly,0.0,3
Abstract Algebra,46,Neutral,0.0,3
Abstract Algebra,46,Rude,0.0,3
Abstract Algebra,46,Very Rude,0.0,3
Abstract Algebra,52,Very Friendly,100.0,3
Abstract Algebra,52,Friendly,0.0,3
Abstract Algebra,52,Neutral,33.33,3
Abstract Algebra,52,Rude,100.0,3
Abstract Algebra,52,Very Rude,33.33,3
Abstract Algebra,53,Very Friendly,0.0,3
Abstract Algebra,53,Friendly,0.0,3
Abstract Algebra,53,Neutral,0.0,3
Abstract Algebra,53,Rude,0.0,3
Abstract Algebra,53,Very Rude,0.0,3
Abstract Algebra,57,Very Friendly,0.0,3
Abstract Algebra,57,Friendly,0.0,3
Abstract Algebra,57,Neutral,66.67,3
Abstract Algebra,57,Rude,0.0,3
Abstract Algebra,57,Very Rude,100.0,3
Abstract Algebra,64,Very Friendly,0.0,3
Abstract Algebra,64,Friendly,0.0,3
Abstract Algebra,64,Neutral,0.0,3
Abstract Algebra,64,Rude,0.0,3
Abstract Algebra,64,Very Rude,0.0,3
Abstract Algebra,68,Very Friendly,0.0,3
Abstract Algebra,68,Friendly,0.0,3
Abstract Algebra,68,Neutral,0.0,3
Abstract Algebra,68,Rude,0.0,3
Abstract Algebra,68,Very Rude,0.0,3
Abstract Algebra,71,Very Friendly,0.0,3
Abstract Algebra,71,Friendly,0.0,3
Abstract Algebra,71,Neutral,0.0,3
Abstract Algebra,71,Rude,0.0,3
Abstract Algebra,71,Very Rude,0.0,3
Abstract Algebra,74,Very Friendly,100.0,3
Abstract Algebra,74,Friendly,100.0,3
Abstract Algebra,74,Neutral,100.0,3
Abstract Algebra,74,Rude,100.0,3
Abstract Algebra,74,Very Rude,100.0,3
Abstract Algebra,81,Very Friendly,0.0,3
Abstract Algebra,81,Friendly,0.0,3
Abstract Algebra,81,Neutral,0.0,3
Abstract Algebra,81,Rude,0.0,3
Abstract Algebra,81,Very Rude,0.0,3
Abstract Algebra,89,Very Friendly,100.0,3
Abstract Algebra,89,Friendly,100.0,3
Abstract Algebra,89,Neutral,66.67,3
Abstract Algebra,89,Rude,100.0,3
Abstract Algebra,89,Very Rude,100.0,3
Abstract Algebra,94,Very Friendly,0.0,3
Abstract Algebra,94,Friendly,0.0,3
Abstract Algebra,94,Neutral,0.0,3
Abstract Algebra,94,Rude,0.0,3
Abstract Algebra,94,Very Rude,0.0,3
Abstract Algebra,103,Very Friendly,100.0,3
Abstract Algebra,103,Friendly,100.0,3
Abstract Algebra,103,Neutral,100.0,3
Abstract Algebra,103,Rude,100.0,3
Abstract Algebra,103,Very Rude,100.0,3
Abstract Algebra,109,Very Friendly,0.0,3
Abstract Algebra,109,Friendly,0.0,3
Abstract Algebra,109,Neutral,0.0,3
Abstract Algebra,109,Rude,0.0,3
Abstract Algebra,109,Very Rude,0.0,3
Abstract Algebra,112,Very Friendly,66.67,3
Abstract Algebra,112,Friendly,33.33,3
Abstract Algebra,112,Neutral,0.0,3
Abstract Algebra,112,Rude,0.0,3
Abstract Algebra,112,Very Rude,0.0,3
Abstract Algebra,121,Very Friendly,100.0,3
Abstract Algebra,121,Friendly,100.0,3
Abstract Algebra,121,Neutral,100.0,3
Abstract Algebra,121,Rude,100.0,3
Abstract Algebra,121,Very Rude,100.0,3
Abstract Algebra,125,Very Friendly,100.0,3
Abstract Algebra,125,Friendly,100.0,3
Abstract Algebra,125,Neutral,100.0,3
Abstract Algebra,125,Rude,100.0,3
Abstract Algebra,125,Very Rude,100.0,3
Abstract Algebra,135,Very Friendly,0.0,3
Abstract Algebra,135,Friendly,0.0,3
Abstract Algebra,135,Neutral,0.0,3
Abstract Algebra,135,Rude,0.0,3
Abstract Algebra,135,Very Rude,0.0,3
Abstract Algebra,140,Very Friendly,100.0,3
Abstract Algebra,140,Friendly,100.0,3
Abstract Algebra,140,Neutral,100.0,3
Abstract Algebra,140,Rude,100.0,3
Abstract Algebra,140,Very Rude,100.0,3
Abstract Algebra,142,Very Friendly,66.67,3
Abstract Algebra,142,Friendly,0.0,3
Abstract Algebra,142,Neutral,0.0,3
Abstract Algebra,142,Rude,0.0,3
Abstract Algebra,142,Very Rude,0.0,3
Abstract Algebra,145,Very Friendly,100.0,3
Abstract Algebra,145,Friendly,100.0,3
Abstract Algebra,145,Neutral,100.0,3
Abstract Algebra,145,Rude,100.0,3
Abstract Algebra,145,Very Rude,100.0,3
Abstract Algebra,150,Very Friendly,100.0,3
Abstract Algebra,150,Friendly,100.0,3
Abstract Algebra,150,Neutral,100.0,3
Abstract Algebra,150,Rude,100.0,3
Abstract Algebra,150,Very Rude,100.0,3
Abstract Algebra,153,Very Friendly,100.0,3
Abstract Algebra,153,Friendly,100.0,3
Abstract Algebra,153,Neutral,100.0,3
Abstract Algebra,153,Rude,100.0,3
Abstract Algebra,153,Very Rude,100.0,3
Abstract Algebra,163,Very Friendly,100.0,3
Abstract Algebra,163,Friendly,100.0,3
