Domain,QID,Tone,Run,Score (%),Correct,Predicted,Raw Response
humanities,9,Very Friendly,1,100,D,D,D
humanities,9,Friendly,1,100,D,D,D
humanities,9,Neutral,1,0,D,C,C
humanities,9,Rude,1,0,D,C,C
humanities,9,Very Rude,1,0,D,C,C
humanities,13,Very Friendly,1,0,D,B,B
humanities,13,Friendly,1,100,D,D,D
humanities,13,Neutral,1,100,D,D,D
humanities,13,Rude,1,100,D,D,D
humanities,13,Very Rude,1,100,D,D,D
humanities,18,Very Friendly,1,0,D,C,C
humanities,18,Friendly,1,0,D,C,C
humanities,18,Neutral,1,0,D,C,C
humanities,18,Rude,1,100,D,D,D
humanities,18,Very Rude,1,100,D,D,D
humanities,24,Very Friendly,1,100,C,C,C
humanities,24,Friendly,1,100,C,C,C
humanities,24,Neutral,1,100,C,C,C
humanities,24,Rude,1,100,C,C,C
humanities,24,Very Rude,1,100,C,C,C
humanities,27,Very Friendly,1,0,D,C,C
humanities,27,Friendly,1,0,D,C,C
humanities,27,Neutral,1,0,D,C,C
humanities,27,Rude,1,0,D,C,C
humanities,27,Very Rude,1,0,D,A,A
humanities,30,Very Friendly,1,0,A,C,C
humanities,30,Friendly,1,0,A,C,C
humanities,30,Neutral,1,0,A,C,C
humanities,30,Rude,1,0,A,C,C
humanities,30,Very Rude,1,0,A,C,C
humanities,34,Very Friendly,1,100,B,B,B
humanities,34,Friendly,1,100,B,B,B
humanities,34,Neutral,1,100,B,B,B
humanities,34,Rude,1,100,B,B,B
humanities,34,Very Rude,1,100,B,B,B
humanities,52,Very Friendly,1,0,A,C,C
humanities,52,Friendly,1,0,A,C,C
humanities,52,Neutral,1,0,A,C,C
humanities,52,Rude,1,100,A,A,A
humanities,52,Very Rude,1,0,A,B,B
humanities,62,Very Friendly,1,100,D,D,D
humanities,62,Friendly,1,100,D,D,D
humanities,62,Neutral,1,100,D,D,D
humanities,62,Rude,1,100,D,D,D
humanities,62,Very Rude,1,100,D,D,D
humanities,70,Very Friendly,1,0,A,B,B
humanities,70,Friendly,1,0,A,B,B
humanities,70,Neutral,1,0,A,B,B
humanities,70,Rude,1,0,A,B,B
humanities,70,Very Rude,1,0,A,B,B
humanities,71,Very Friendly,1,100,D,D,D
humanities,71,Friendly,1,100,D,D,D
humanities,71,Neutral,1,100,D,D,D
humanities,71,Rude,1,100,D,D,D
humanities,71,Very Rude,1,100,D,D,D
humanities,80,Very Friendly,1,0,C,B,B
humanities,80,Friendly,1,0,C,B,B
humanities,80,Neutral,1,0,C,B,B
humanities,80,Rude,1,0,C,B,B
humanities,80,Very Rude,1,0,C,B,B
humanities,94,Very Friendly,1,100,A,A,A
humanities,94,Friendly,1,100,A,A,A
humanities,94,Neutral,1,100,A,A,A
humanities,94,Rude,1,100,A,A,A
humanities,94,Very Rude,1,100,A,A,A
humanities,101,Very Friendly,1,0,D,C,C
humanities,101,Friendly,1,0,D,C,C
humanities,101,Neutral,1,0,D,C,C
humanities,101,Rude,1,0,D,C,C
humanities,101,Very Rude,1,0,D,C,C
humanities,110,Very Friendly,1,0,D,C,C
humanities,110,Friendly,1,0,D,C,C
humanities,110,Neutral,1,100,D,D,D)
humanities,110,Rude,1,0,D,A,A
humanities,110,Very Rude,1,0,D,C,C
humanities,121,Very Friendly,1,100,A,A,A
humanities,121,Friendly,1,100,A,A,A
humanities,121,Neutral,1,100,A,A,A
humanities,121,Rude,1,100,A,A,A
humanities,121,Very Rude,1,100,A,A,A
humanities,123,Very Friendly,1,0,D,B,B)
humanities,123,Friendly,1,0,D,B,B)
humanities,123,Neutral,1,0,D,B,B)
humanities,123,Rude,1,0,D,B,B)
humanities,123,Very Rude,1,0,D,C,C
humanities,133,Very Friendly,1,100,C,C,C
humanities,133,Friendly,1,100,C,C,C
humanities,133,Neutral,1,100,C,C,C
humanities,133,Rude,1,100,C,C,C
humanities,133,Very Rude,1,100,C,C,C
humanities,135,Very Friendly,1,100,C,C,C
humanities,135,Friendly,1,100,C,C,C
humanities,135,Neutral,1,100,C,C,C
humanities,135,Rude,1,100,C,C,C
humanities,135,Very Rude,1,100,C,C,C
humanities,136,Very Friendly,1,100,C,C,C
humanities,136,Friendly,1,100,C,C,C
humanities,136,Neutral,1,100,C,C,C
humanities,136,Rude,1,100,C,C,C
humanities,136,Very Rude,1,100,C,C,C
humanities,145,Very Friendly,1,0,A,B,B
humanities,145,Friendly,1,0,A,B,B
humanities,145,Neutral,1,0,A,B,B
humanities,145,Rude,1,0,A,B,B
humanities,145,Very Rude,1,0,A,B,B
humanities,150,Very Friendly,1,100,B,B,B
humanities,150,Friendly,1,100,B,B,B
humanities,150,Neutral,1,100,B,B,B
humanities,150,Rude,1,100,B,B,B
humanities,150,Very Rude,1,100,B,B,B
humanities,152,Very Friendly,1,0,B,C,C
humanities,152,Friendly,1,0,B,C,C
humanities,152,Neutral,1,0,B,C,C
humanities,152,Rude,1,0,B,C,C
humanities,152,Very Rude,1,0,B,C,C
humanities,158,Very Friendly,1,100,D,D,D
humanities,158,Friendly,1,100,D,D,D
humanities,158,Neutral,1,100,D,D,D
humanities,158,Rude,1,100,D,D,D
humanities,158,Very Rude,1,100,D,D,D
humanities,178,Very Friendly,1,0,A,C,C
humanities,178,Friendly,1,0,A,C,C
